image_id,frame_filename,primary_object_label,secondary_object_labels,narrative_label,confidence,requires_context,annotator_id,annotator_notes
nosferatu_000005,nosferatu_000005.jpg,frightened_faces,,unknown_ambiguous,medium,no,1,το frame δειχνει ενα θυμωμενο σχετικα προσωπο
nosferatu_000013,nosferatu_000013.jpg,satanic_symbols,dark_figures; demon_figures,occult_symbolism,medium,no,1,το frame δειχνει 6 περιεργες φιγουρες
nosferatu_000023,nosferatu_000023.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει σαν ενα μακρινο background
nosferatu_000044,nosferatu_000044.jpg,satanic_symbols,demon_figures; frightened_faces,ritual_or_curse,yes,1,το frame δειχνει σαν μια τελετη και παγιδευμενους ανθρωπους
nosferatu_000048,nosferatu_000048.jpg,demon_figures,satanic_symbols; dark_figures,supernatural_threat,high,no,1,το frame δειχνει κοκκινο αερα στον χωρο και εναν δαιμονα να καθεται στον θρονο
nosferatu_000054,nosferatu_000054.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει κατι ανθρωπους να εργαζονται στα χωραφια καπως φοβισμενοι
nosferatu_000056,nosferatu_000056.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει 3 ανθρωπους οπου ο ενας παρακαλαει φοβισμενος τον εναν απο τους δυο
nosferatu_000059,nosferatu_000059.jpg,satanic_symbols,,ritual_or_curse,medium,yes,1,το frame δειχνει οτι πανε να θυσιασουν μια κατσικα
nosferatu_000064,nosferatu_000064.jpg,torture_scene,,ritual_or_curse,medium,yes,1,to frame δειχνει σαν να θυσιαζουν μια γυναικα με ενα δηλητηριο
nosferatu_000076,nosferatu_000076.jpg,demon_figures,,supernatural_threat,high,no,1,το frame δειχνει κοσμο να ακουλουθαει εναν δαιμονα
nosferatu_000078,nosferatu_000078.jpg,demon_figures,,occult_symbolism,low,no,1,το frame δειχνει μια κυρια να αιωρειτε με ενα ζωο
nosferatu_000081,nosferatu_000081.jpg,frightened_faces,satanic_symbols,ritual_or_curse,medium,no,1,το frame δειχνει σαν να κανουν κατι περιεργα πλασματα μια τελετη με ανθρωπους
nosferatu_000083,nosferatu_000083.jpg,frightened_faces,demon_figures,occult_symbolism,medium,no,1,το frame δειχνει σαν να γινεται μια τελετη και επιτεθηκαν δαιμονες σε ανθρωπους
nosferatu_000085,nosferatu_000085.jpg,dark_figures,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια που σαν να κανει τελετη
nosferatu_000088,nosferatu_000088.jpg,dark_figures,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια σαν να κανει τελετη
nosferatu_000089,nosferatu_000089.jpg,dark_figures,,unknown_ambiguous,medium,yes,1,το frame δειχνει τρεις κυριες που μαλλον ετοιμαζουν μια τελετη
nosferatu_000093,nosferatu_000093.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει μια περιεργη κυρια σε περιεργη κατασταση
nosferatu_000094,nosferatu_000094.jpg,dark_figures,,unknown_ambiguous,high,yes,1,το frame δειχνει δυο κυριες
nosferatu_000095,nosferatu_000095.jpg,dark_figures,satanic_symbols,occult_symbolism,high,yes,1,το frame δειχνει μια κυρια και μια νεκροκεφαλη
nosferatu_000096,nosferatu_000096.jpg,dark_figures,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια
nosferatu_000101,nosferatu_000101.jpg,satanic_symbols,,occult_symbolism,high,no,1,το frame δειχνει μερικα σατανικα αντικειμενα μεσα σε ενα μπολ
nosferatu_000102,nosferatu_000102.jpg,dark_figures,,unknown_ambiguous,high,yes,1,το frame δειχνει δυο κυριες
nosferatu_000104,nosferatu_000104.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει μια κυρια εξω απο ενα σπιτι
nosferatu_000110,nosferatu_000110.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει μια κυρια να κοιταει περιεργα ενα αντικειμενο που κραταει ενας αντρας
nosferatu_000112,nosferatu_000112.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει εναν αντρα να γελαει και μια γυναικα που τον κοιταει
nosferatu_000113,nosferatu_000113.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει μια γυναικα να γελαει
nosferatu_000114,nosferatu_000114.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει ενα αντρογυνο να γελαει
nosferatu_000115,nosferatu_000115.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει ενα αντρογυνο να γελαει
nosferatu_000117,nosferatu_000117.jpg,dark_figures,,unknown_ambiguous,medium,no,1,το frame δειχνει μια κυρια να κοιταει περιεργα εναν αντρα
nosferatu_000119,nosferatu_000119.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει μια γυναικα να γελαει
nosferatu_000121,nosferatu_000121.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει εναν αντρα να γευματιζει
nosferatu_000122,nosferatu_000122.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει εναν αντρα να πινει κατι
nosferatu_000123,nosferatu_000123.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει εναν αντρα να γελαει
nosferatu_000125,nosferatu_000125.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει μια κυρια σε ενα δασος
nosferatu_000126,nosferatu_000126.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει ενα αντρογυνο στο δασος
nosferatu_000127,nosferatu_000127.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει ενα αντρογυνο
nosferatu_000129,nosferatu_000129.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει εναν αντρα και μια κυρια
nosferatu_000133,nosferatu_000133.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει μια κυρια εξω απο ενα σπιτι
nosferatu_000137,nosferatu_000137.jpg,frightened_faces,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια τρομαγμενη
nosferatu_000143,nosferatu_000143.jpg,torture_scene,,ritual_or_curse,high,yes,1,το frame δειχνει δυο αντρες που προσπαθουν να σκοτωσουν μια κυρια
nosferatu_000148,nosferatu_000148.jpg,torture_scene,,ritual_or_curse,high,no,1,το frame δειχνει δυο αντρες που σκοτωσουν μια κυρια με μαχαιρι
nosferatu_000151,nosferatu_000151.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει μια κυρια εξω απο ενα σπιτι
nosferatu_000154,nosferatu_000154.jpg,dark_figures,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια και εναν αντρα εξω απο ενα σπιτι
nosferatu_000156,nosferatu_000156.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει μια κυρια και εναν αντρα εξω απο ενα σπιτι
nosferatu_000159,nosferatu_000159.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει εναν αντρα με πλανο την πλατη του
nosferatu_000162,nosferatu_000162.jpg,frightened_faces,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια τρομαγμενη ξαπλωμενη
nosferatu_000164,nosferatu_000164.jpg,dark_figures,,unknown_ambiguous,high,no,1,το frame δειχνει εναν ανθρωπο σε ενα χωραφι
nosferatu_000167,nosferatu_000167.jpg,demon_figures,,supernatural_threat,high,no,1,το frame δειχνει εναν τεραστιο δαιμονα και εναν ανθρωπο
nosferatu_000169,nosferatu_000169.jpg,demon_figures,,supernatural_threat,high,yes,1,το frame δειχνει εναν δαιμονικο αντρα
nosferatu_000173,nosferatu_000173.jpg,satanic_symbols,,occult_symbolism,medium,yes,1,το frame δειχνει μια κυρια που κανει κατι σαν τελετη/βουντου
nosferatu_000175,nosferatu_000175.jpg,satanic_symbols,,occult_symbolism,medium,no,1,το frame δειχνει μια κυρια που κανει κατι σαν τελετη/βουντου
nosferatu_000177,nosferatu_000177.jpg,satanic_symbols,,occult_symbolism,medium,no,1,το frame δειχνει μια κυρια που κανει κατι σαν τελετη/βουντου
nosferatu_000178,nosferatu_000178.jpg,satanic_symbols,,occult_symbolism,medium,no,1,το frame δειχνει μια κυρια που κανει κατι σαν τελετη/βουντου
nosferatu_000179,nosferatu_000179.jpg,demon_figures,,supernatural_threat,high,yes,1,το frame δειχνει εναν δαιμονικο αντρα
nosferatu_000180,nosferatu_000180.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει μια κυρια τρομαγμενη στο πατωμα
nosferatu_000181,nosferatu_000181.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει μια κυρια τρομαγμενη
nosferatu_000183,nosferatu_000183.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει μια κυρια να κοιμαται
nosferatu_000185,nosferatu_000185.jpg,frightened_faces,,unknown_ambiguous,low,no,1,το frame δειχνει μια κυρια να κοιμαται
nosferatu_000186,nosferatu_000186.jpg,frightened_faces,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια τρομαγμενη
nosferatu_000189,nosferatu_000189.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει μια κυρια σαν να ακουσε κατι και να τρομαξε
nosferatu_000192,nosferatu_000192.jpg,satanic_symbols,,unknown_ambiguous,low,no,1,το frame δειχνει κατι κερματα σε ενα τραπεζι
nosferatu_000195,nosferatu_000195.jpg,dark_figures,,unknown_ambiguous,low,yes,1,το frame δειχνει μια κυρια απο το πλαϊ να κοιταει προς την πορτα της
nosferatu_000196,nosferatu_000196.jpg,satanic_symbols,,unknown_ambiguous,low,no,1,το frame δειχνει φαγητο πανω στο τραπεζι
nosferatu_000197,nosferatu_000197.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει μια κυρια σε μια κουζινα
nosferatu_000199,nosferatu_000199.jpg,frightened_faces,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια τρομαγμενη/ξαφνιασμενη
nosferatu_000203,nosferatu_000203.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει δυο κυριες να μπαινουν στο δωματιο
nosferatu_000206,nosferatu_000206.jpg,dark_figures,,unknown_ambiguous,low,yes,1,το frame δειχνει εναν κυριο να κατασκοπευει εξω απο το παραθυρο του
nosferatu_000210,nosferatu_000210.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει κατι ανθρωπους που ειναι σε ενα ποταμι με μια βαρκα και καποιους αλλους ανθρωπους να τους κοιτανε απεξω
nosferatu_000219,nosferatu_000219.jpg,torture_scene,,ritual_or_curse,medium,yes,1,το frame δειχνει 5 ανθρωπους σε ενα δωματιο σαν να θυσιαζουν αλλον εναν ανθρωπο που ειναι ξαπλωμενος στο κρεβατι
nosferatu_000220,nosferatu_000220.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει μια κυρια να ετοιμαζει κατι πραγματα
nosferatu_000222,nosferatu_000222.jpg,torture_scene,,ritual_or_curse,medium,yes,1,το frame δειχνει 4 ανθρωπους σε ενα δωματιο που συνεχιζουν την τελετη
nosferatu_000224,nosferatu_000224.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει εναν αντρα λιγο σκεπτομενο
nosferatu_000225,nosferatu_000225.jpg,torture_scene,,ritual_or_curse,medium,yes,1,το frame δειχνει 3 κυριες και εναν αντρα οπου ο αντρας προσπαθει να σκοτωσει με δηλητηριο μια γυναικα
nosferatu_000227,nosferatu_000227.jpg,satanic_symbols,,ritual_or_curse,medium,no,1,το frame δειχνει ενα μπολ που περιεχει το δηλητηριο
nosferatu_000229,nosferatu_000229.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει ενα αδειο δωματιο
nosferatu_000232,nosferatu_000232.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει μια κυρια σοκαρισμενη
nosferatu_000234,nosferatu_000234.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει εναν αντρα με μια κυρια να συζητουν
nosferatu_000235,nosferatu_000235.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει ενα αδειο δωματιο
nosferatu_000237,nosferatu_000237.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει δυο κυριες στο δωματιο
nosferatu_000241,nosferatu_000241.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει μια κυρια σοκαρισμενη
nosferatu_000242,nosferatu_000242.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει δυο κυριες στο δωματιο
nosferatu_000244,nosferatu_000244.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει δυο κυριες που ετοιμαζονται να φυγουν απο το δωματιο που δημητηριασαν την κοπελα απο πριν
nosferatu_000246,nosferatu_000246.jpg,frightened_faces,,unknown_ambiguous,high,yes,1,το frame δειχνει μια κυρια τρομαγμενη
nosferatu_000247,nosferatu_000247.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει μια κυρια σοκαρισμενη και μια να της μιλαει
nosferatu_000248,nosferatu_000248.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει μια κυρια φοβισμενη/αγχωμενη
nosferatu_000250,nosferatu_000250.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει δυο κυριες στο δωματιο
nosferatu_000255,nosferatu_000255.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει δυο αντρες και μια κυρια με τον εναν κυριο να ειναι σκεπτομενος
nosferatu_000256,nosferatu_000256.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει εναν αντρα καπως αγχωμενο
nosferatu_000257,nosferatu_000257.jpg,frightened_faces,,unknown_ambiguous,medium,yes,1,το frame δειχνει μια κυρια να του μιλαει του αντρα και αυτη καπως αγχωμενη
nosferatu_000258,nosferatu_000258.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει εναν αντρα που βλεπει τους αλλους να εχουν αποχωρησει απο τον χωρο
nosferatu_000259,nosferatu_000259.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει δυο αντρες να διαβαζουν ενα βιβλιο
nosferatu_000260,nosferatu_000260.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει εναν αντρα καπως στεναχωρημενο
nosferatu_000262,nosferatu_000262.jpg,dark_figures,,unknown_ambiguous,low,yes,2,Frame δείχνει main characters
nosferatu_000265,nosferatu_000265.jpg,dark_figures,dark_figures,unknown_ambiguous,low,yes,2,Frame δείχενι γιαγια να μαγειρεύει και secondary χαρακτήρες στο βάσθος
nosferatu_000267,nosferatu_000267.jpg,dark_figures,dark_figures,unknown_ambiguous,low,yes,2,Frame δείχενι χαρακτήρες
nosferatu_000270,nosferatu_000270.jpg,dark_figures,,occult_symbolism,medium,yes,2,Frame δείχνει χαρακτήρες να στέκονται γύρω απο κάτι
nosferatu_000275,nosferatu_000275.jpg,dark_figures,,unknown_ambiguous,high,yes,2,Frame δείχνει περιέργους χαρακτήρας μαζεμένους
nosferatu_000277,nosferatu_000277.jpg,torture_scene,,body_vulnerability,high,no,2,Frame δείχενι χαρακτήρα να βασανίζεται
nosferatu_000278,nosferatu_000278.jpg,dark_figures,,body_vulnerability,medium,no,2,Frame δείχενι χαρακτήρες να μιλούν, γιαγιά φαίνεται τραυματισμένη
nosferatu_000282,nosferatu_000282.jpg,dark_figures,,body_vulnerability,high,yes,2,Frame παρόμοιο με τα γειτονικά, προσθέτει context
nosferatu_000286,nosferatu_000286.jpg,dark_figures,satanic_symbols,ritual_or_curse,medium,yes,2,Frame όπου χαρακτήρες βρίσκονται δωμάτιο με σύμβολα κάνουν τελετή σε ηέρο
nosferatu_000290,nosferatu_000290.jpg,dark_figures,,ritual_or_curse,low,yes,2,Frame δείχνει χαρακτήρες με ίδιο κούρεμα να διαχειρίζονται κάτι
nosferatu_000291,nosferatu_000291.jpg,dark_figures,,ritual_or_curse,low,yes,2,Frame δείχενι ίδιους χαρακτήρες να συζητούν
nosferatu_000293,nosferatu_000293.jpg,frightened_faces,,body_vulnerability,medium,no,2,Frame δείχνει γριά τραυματισμένη να κοιτάει απελπισμένα
nosferatu_000296,nosferatu_000296.jpg,torture_scene,,body_vulnerability,high,no,2,Frame δείχενι βασανιστήριο χαρακτήρα, δείχνοντας τα εγκλοβισμένα πόδια του.
nosferatu_000297,nosferatu_000297.jpg,frightened_faces,,body_vulnerability,medium,no,2,Frame δείχνει γριά τυφλή και δαρμένη
nosferatu_000298,nosferatu_000298.jpg,dark_figures,,unknown_ambiguous,low,yes,2,Χαρακτήρας κάθετε σε θρόνο
nosferatu_000301,nosferatu_000301.jpg,frightened_faces,,body_vulnerability,high,no,2,Frame δείχνει γριά που έχει φθορά στο πρόσωπο της, κλείνει τα μάτια της
nosferatu_000304,nosferatu_000304.jpg,dark_figures,,unknown_ambiguous,low,yes,2,Frame δείχενι χαρακτήρες να κοιτάνε επιγραφές
nosferatu_000309,nosferatu_000309.jpg,dark_figures,,body_vulnerability,high,yes,2,Frame δείχενι ετοιμοθάνατη γριά γυναίκα και έναν χαρακτήρα που την υποστηρίζει 
nosferatu_000322,nosferatu_000322.jpg,satanic_symbols,,ritual_or_curse,high,no,2,Frame δείχενι σύμβολα σατανικά τοποθετημένα έτσι, για τελετή
nosferatu_000323,nosferatu_000323.jpg,demon_figures,,ritual_or_curse,high,no,2,Frame δείχνει σατανική οντώτητα να διαχειρίζεται αντικείμενο
nosferatu_000325,nosferatu_000325.jpg,dark_figures,,unknown_ambiguous,medium,yes,2,Frame δείχνει χαρακτήρες να περιμένουν έξω απο μια πόρτα
nosferatu_000327,nosferatu_000327.jpg,demon_figures,,ritual_or_curse,high,no,2,Frame δείχνει σατανικές φιγούρες στο σκωτάδι
nosferatu_000328,nosferatu_000328.jpg,demon_figures,satanic_symbols,ritual_or_curse,high,no,2,Frame δείχνει σατανικές φιγούρες με αντικείμενα
nosferatu_000329,nosferatu_000329.jpg,dark_figures,demon_figures,ritual_or_curse,medium,no,2,Frame δείχνει φιγούρα να υποκλείνεται σε δεμονική οντώτητα
nosferatu_000331,nosferatu_000331.jpg,demon_figures,,unknown_ambiguous,high,no,2,Frame δείχνει δεμονικές φιγούρες
nosferatu_000332,nosferatu_000332.jpg,demon_figures,dark_figures,ritual_or_curse,high,no,2,Frame δείχνει θυσία μωρού από δεμονικούς χαρακτήρες
nosferatu_000333,nosferatu_000333.jpg,demon_figures,,ritual_or_curse,high,yes,2,Frame δείχνει συνέχεια τελετής
nosferatu_000334,nosferatu_000334.jpg,demon_figures,,ritual_or_curse,high,yes,2,Frame δείχνει συνέχεια τελετής
nosferatu_000337,nosferatu_000337.jpg,dark_figures,,unknown_ambiguous,medium,no,2,Frame δείχνει χαρακτήρες να συνομιλούν χαμογελαστά
nosferatu_000338,nosferatu_000338.jpg,frightened_faces,,unknown_ambiguous,low,no,2,Frame δείχνει πρόσωπο να χαμογελάει
nosferatu_000340,nosferatu_000340.jpg,occult_symbolism,,unknown_ambiguous,low,no,2,Frame δείχνει εικόνα συμβολική αλλά όχι ξεκάθαρη
nosferatu_000344,nosferatu_000344.jpg,occult_symbolism,,unknown_ambiguous,medium,no,2,Frame δείχνει σύμβολα καθώς και μέρη σώματος
nosferatu_000345,nosferatu_000345.jpg,frightened_faces,,unknown_ambiguous,high,no,2,Frame δείχνει επικρητικό πρόσωπο γριάς
nosferatu_000349,nosferatu_000349.jpg,dark_figures,,unknown_ambiguous,high,no,2,Frame δείχνει χαρακτήρες να μιλάνε στο σκωτάδι
nosferatu_000352,nosferatu_000352.jpg,frightened_faces,,unknown_ambiguous,high,no,2,Frame δείχνει πρόσωπο γριάς φοβησμένης
nosferatu_000356,nosferatu_000356.jpg,dark_figures,,unknown_ambiguous,low,no,2,Frame δείχνει συνάντηση δύο χαρακτήρων 
nosferatu_000357,nosferatu_000357.jpg,frightened_faces,,unknown_ambiguous,low,yes,1,το frame δειχνει μια κυρια καπως λυπημενη
nosferatu_000358,nosferatu_000358.jpg,dark_figures,,unknown_ambiguous,low,no,1,το frame δειχνει μια κυρια να τσεκαρει την αλλη κοπελα που δημητηριασαν πριν
